Complexity,Loss,Equation
1,0.0044871233,"0.047535248"
4,0.0043919585,"0.07418915 / abs(x1)"
5,0.004096871,"0.07123868 / abs(sqrt(x1))"
7,0.004093962,"abs(-0.072606556 / sqrt(x1 + 0.06552476))"
9,0.0039939373,"abs(-0.112612806 / sqrt((x1 * x1) + 1.0044756))"
10,0.0039536026,"((exp(x1 * -0.38635713) / 0.48417798) / 4.2861214) * 0.24891041"
11,0.0039104056,"0.109675795 / sqrt(((x1 * x1) + 0.5702269) - log(x1))"
12,0.003909298,"abs(-0.10447786 / sqrt(((x1 * x1) + 0.3791529) - log(x1)))"
13,0.0038997033,"((x1 - x1) + 0.10601581) / ((0.318758 / (x1 * x1)) + x1)"
14,0.0038730458,"((x1 + 0.10805938) - x1) / ((abs(1.0532435 - x1) / x1) + x1)"
15,0.0037813156,"(x1 + (0.09513558 - x1)) / (x1 + ((0.8589927 - x1) / (x1 * x1)))"
18,0.0037812707,"((0.095258825 - x1) + x1) / abs(((1.0144582 - (x1 + 0.15834275)) / (x1 * x1)) + x1)"
20,0.003714965,"0.10691466 / sqrt(sqrt(abs(((x1 * (x1 * x1)) * x1) - ((-0.92974705 / (0.3503168 - x1)) / x1))))"
