Complexity,Loss,Equation
1,0.0055986657,"0.032988735"
3,0.005519409,"0.05320138 / x1"
4,0.0053792996,"0.050482217 / sqrt(x1)"
5,0.0053527416,"0.050974153 - (x1 / 152.49893)"
6,0.0053268727,"0.12594885 / abs(x1 + 1.3339752)"
7,0.0053266142,"(0.28865623 / (x1 + 1.2541224)) / 2.358708"
8,0.005326614,"abs((0.2895179 / (x1 + 1.2370845)) / 2.380621)"
9,0.0051744147,"abs(x1 * (-0.19856898 / (x1 + exp(x1))))"
10,0.0051279506,"((0.2233845 * x1) / abs(exp(x1))) / abs(-1.2011915)"
11,0.0051131034,"(x1 * (0.2779642 / abs(exp(x1) + 0.5975482))) / 1.3544734"
14,0.005062416,"exp(-1.5260392 - x1) * sqrt(abs((x1 / 0.72782624) - 0.86794484) * 1.6503537)"
22,0.0049964637,"(x1 * (x1 / sqrt(exp(abs(sqrt(exp(x1 + 1.7166657)) + abs(x1)) + 1.0210482) + x1))) * abs(x1)"
