Complexity,Loss,Equation
1,0.15040103,"0.050497346"
3,0.14820705,"0.11674263 / x1"
6,0.14806952,"abs((0.14614423 / x1) + -0.020929793)"
7,0.14573509,"abs(abs(0.029261796 / (x1 + -0.49360338)))"
8,0.13584247,"0.012652306 / abs((x1 - 1.5230814) / x1)"
10,0.1354889,"abs((-0.01824918 / (x1 - 1.5225506)) / x1) * 1.5206355"
11,0.13298869,"abs(abs((x1 * -0.0017535532) / ((x1 - 1.5698103) / x1)))"
13,0.12859383,"exp(abs((1.5651972 - abs(x1)) / abs(x1)) / (x1 * -0.014642185))"
23,0.12818149,"abs((x1 * 0.0011487639) / ((x1 - 1.5613301) / abs(abs((x1 - (x1 - 2.2587118)) / abs((x1 / 1.226757) - 0.44635764)))))"
25,0.12682155,"abs(x1 * (0.0011487639 / ((x1 - 1.5613301) / abs((-0.13842243 + x1) - ((x1 - 2.2587118) / (1.226757 - abs(x1 - abs(1.5613301))))))))"
