Complexity,Loss,Equation
1,0.94218236,"-0.03541166"
3,0.9409312,"x1 * -0.016476199"
4,0.9404472,"log(x1) * -0.05200814"
5,0.9399956,"(x1 * -0.005148903) * x1"
6,0.9379295,"(log(x1) * -0.20524774) / x1"
8,0.93653107,"((-0.25672296 * -0.023629298) * -0.25672296) * exp(x1)"
10,0.9363624,"((-0.25672296 + -0.023629298) * -0.023629298) * (-0.25672296 * exp(x1))"
11,0.90466624,"(log(sqrt(x1)) * -0.14290176) / log(abs(x1 + -0.732074))"
12,0.9003353,"sqrt(x1 / 0.79414034) * (-0.03577369 / log(abs(x1 + -0.7225244)))"
14,0.90027964,"log(sqrt(abs(x1) / 0.1794408)) * (-0.0432837 / log(abs(x1 + -0.724076)))"
22,0.88823014,"abs(log(exp((-0.0017311015 / ((((x1 * (x1 * -1.243679)) + 1.5757761) * ((x1 * -0.00518222) / 0.21178329)) + -1.0251737)) / 0.21601957)))"
