Complexity,Loss,Equation
1,45.09541,"9.167932"
3,0.94343024,"x1 * x1"
5,0.93999594,"x1 * (x1 * 0.9948513)"
6,0.9399959,"x1 * abs(x1 * 0.99485075)"
7,0.93912125,"(x1 + 0.04205541) * (x1 * 0.9841298)"
12,0.9386613,"abs(((x1 * -0.9701172) + 0.26681963) * abs(abs(x1 + 0.40390256)))"
14,0.93165827,"((x1 * x1) * 0.92214024) + abs((x1 * -0.5998953) + (x1 + -0.43580246))"
16,0.92966306,"(((x1 * 0.9230478) + -0.10344854) * x1) + abs((x1 * -0.45937556) + (x1 + -0.58150464))"
21,0.92245805,"(((x1 * x1) + (((((0.4222121 / (x1 * -1.5537491)) * x1) + 1.3520393) / x1) + x1)) / 1.1453472) + -1.7604084"
26,0.8960215,"((x1 * (2.723387 / x1)) * x1) + (abs(x1 + (((x1 * (x1 * (x1 / x1))) + (x1 * -0.51520735)) * -0.8021709)) + -2.0938585)"
