Complexity,Loss,Equation
1,0.17244883,"0.5216421"
3,0.0001303629,"1.0304513 / x1"
5,3.6692705e-5,"0.9975874 / (x1 - 0.0265729)"
6,3.2061984e-5,"abs((1.0503011 / x1) - 0.016224494)"
8,2.6171678e-5,"(1.0286456 / (abs(x1) - 0.011697118)) + -0.010233029"
18,2.2456818e-5,"abs((-0.07138965 - exp((-0.06763105 / (x1 - -0.051905435)) * abs(x1 - 0.61429805))) / (x1 / -0.9799235))"
22,2.0921665e-5,"abs(exp(((x1 * (-0.06763105 / exp(0.054711513 - (0.054711513 - (0.23390493 * (x1 - -0.73154783)))))) * 0.8873649) - -0.07138965) / x1)"
24,1.9780538e-5,"exp(((x1 * (-0.06763105 / exp(0.054711513 - ((0.054711513 / x1) - ((x1 - -0.73154783) * 0.23390493))))) * 0.8873649) - -0.07138965) / abs(x1)"
25,1.948665e-5,"abs(exp(((x1 * (-0.066352166 / exp(0.05480673 - ((0.05485216 / x1) - ((x1 - -0.73156995) * 0.23437248))))) * 0.8872583) - -0.0698267) / abs(x1))"
26,1.883809e-5,"abs(exp(((x1 * (-0.06763105 / exp(0.054711513 - (((0.054711513 / x1) / x1) - (0.23390493 * (x1 - -0.73154783)))))) * 0.8873649) - -0.07138965) / x1)"
