Complexity,Loss,Equation
1,0.120060585,"0.49680862"
3,0.00011059277,"1.0264878 / x1"
7,0.00011059269,"(1.0296165 / (x1 * 1.0595487)) * 1.0563139"
9,1.9033103e-5,"log((1.561364 / x1) + 1.2627784) / sqrt(x1)"
13,1.32859905e-5,"log(((-0.3040157 / x1) + (1.8584085 / x1)) + 1.2594684) / sqrt(x1)"
22,1.2611328e-5,"(exp(0.042659447 / abs(exp(((x1 * 1.0595579) - 0.7902139) * abs(x1 * 0.6244389)))) / abs(x1 * 1.0608487)) * 1.058558"
24,1.2611122e-5,"(exp(0.042659447 / abs(exp(((abs(1.0608487) * x1) - 0.7902139) * abs(x1 * 0.6244389)))) / (x1 * abs(1.0608487))) * abs(1.058558)"
27,1.2123093e-5,"(1.0594217 / abs(x1 * 1.0601571)) * exp(0.04099723 / exp(((x1 * 1.0596762) - 0.73326623) * abs((0.3762744 - ((x1 * 0.7902521) * x1)) * 0.6244289)))"
28,1.1746941e-5,"exp(0.038978487 / exp((x1 - 0.8592632) * ((((x1 * (sqrt(x1) - -0.62576115)) * 0.32476437) * sqrt(abs(x1))) * 1.1941749))) * (1.1942399 / (x1 * 1.1939279))"
29,1.1737837e-5,"exp(0.03973808 / exp((x1 - 0.85925776) * (((((sqrt(x1) - -0.5425121) * x1) * 0.32485387) * abs(sqrt(x1))) * 1.1941992))) * (1.193763 / (x1 * abs(1.1941204)))"
30,1.1732929e-5,"exp(0.03973808 / exp((x1 - 0.85925776) * (((((sqrt(sqrt(x1)) - -0.625776) * x1) * 0.32485387) * sqrt(abs(x1))) * 1.1941992))) * (1.193763 / abs(x1 * 1.1941204))"
