Complexity,Loss,Equation
1,0.16416204,"0.5223203"
3,0.00012198438,"1.0290906 / x1"
5,3.1660522e-5,"(1.0487542 / x1) - 0.01580148"
11,3.1660493e-5,"((0.64015716 / (x1 * 1.3117057)) + (0.56071645 / x1)) + -0.015799819"
13,2.9363748e-5,"abs((0.007282933 / (abs(x1) * x1)) + ((1.036104 / x1) + -0.0124142105))"
16,2.6727754e-5,"((exp((x1 + 1.899689) * -0.88781106) / 2.5412066) + (x1 / x1)) / abs(abs(x1))"
19,2.055584e-5,"abs(sqrt(abs(x1 / x1)) / x1) + (exp(-1.1528991 * (x1 + (x1 + x1))) * x1)"
20,1.7195092e-5,"((exp(abs((x1 + x1) + x1) * -0.77905494) * sqrt(x1)) / 2.6783743) + ((x1 / x1) / x1)"
21,1.5739986e-5,"((exp((x1 + (x1 + x1)) * -0.9621034) * x1) / 1.5697988) + abs(sqrt(abs(x1 / x1)) / x1)"
22,1.5630107e-5,"abs(abs(((exp((x1 + (x1 + x1)) * -1.024318) * x1) / 1.348721) + (sqrt(abs(x1 / x1)) / x1)))"
