Complexity,Loss,Equation
1,0.0007889966,"0.011874358"
3,0.00047939396,"0.03245236 / x1"
4,0.00042991486,"0.10921416 / exp(x1)"
5,0.00042310572,"0.025817296 / (x1 * x1)"
6,0.0003814602,"0.10780264 / exp(x1 * x1)"
8,0.00037516077,"0.09009345 / exp(x1 * (x1 + -0.26883495))"
9,0.00037416525,"0.07876924 / exp(x1 * abs(x1 + -0.41557884))"
14,0.00036979953,"exp(-0.85509866 - (x1 * (x1 + 0.873208))) * ((x1 + 0.65677714) - 0.85066664)"
19,0.00036907668,"abs(exp(-0.67955035 - ((x1 * x1) + 0.64943177)) * (x1 / (-1.7001095 - (x1 * (x1 + -0.80840033)))))"
21,0.00036760693,"abs(abs(abs(exp(((x1 - (x1 * 0.554966)) - ((x1 + (0.65823406 - x1)) / abs(x1))) - exp(x1)))))"
