Complexity,Loss,Equation
1,0.0006161443,"0.008418208"
3,0.00041182007,"0.028116586 / x1"
4,0.00034513426,"exp(x1 * -3.9128273)"
5,0.00031041916,"0.029358428 / (x1 * x1)"
6,0.00030709777,"0.09615904 / (x1 * exp(x1))"
7,0.00030417935,"abs((0.08843727 / exp(x1)) / x1)"
8,0.00030417932,"exp(log(0.08843727 / exp(x1))) / x1"
9,0.00030417918,"log(exp(0.08843624 / exp(x1))) / abs(x1)"
11,0.00030289107,"abs(exp(log(0.09125311 / exp(x1))) / x1) + -0.001294732"
22,0.0003023616,"log(exp(exp(log(0.49483943 / ((exp(x1 + x1) + 6.9541016) / (x1 / x1)))))) / sqrt(x1 * abs(x1))"
