Complexity,Loss,Equation
1,0.0038628853,"0.017002802"
3,0.0034876063,"0.039405365 / x1"
4,0.0034377761,"exp(-2.0362024 - x1)"
5,0.0034377757,"abs(exp(-2.036312 - x1))"
8,0.0034298678,"0.07304189 / abs((x1 * x1) + 0.55398136)"
9,0.0034159962,"abs(exp(-0.9742615 + (x1 * -2.0514092))) * x1"
10,0.0033882032,"abs((-0.06311376 / exp(abs(log(x1)))) / abs(x1))"
12,0.0033673006,"sqrt(0.042298 / x1) / exp(abs(x1 + -1.1184133) + x1)"
13,0.0032939496,"abs((-0.012854138 / abs(log(x1))) / abs(abs(sqrt(x1) * x1)))"
25,0.0032827961,"abs(x1 / (log(x1) / 0.59232736)) / (abs(exp((x1 + x1) + sqrt(log(abs((x1 / 0.30292612) / log(x1)))))) + x1)"
27,0.0032786962,"abs(abs(x1 / (log(x1) / -0.42043686))) / (abs(abs(exp((x1 + x1) + sqrt(log((x1 / 0.7175011) / abs(log(x1))))))) + x1)"
