Complexity,Loss,Equation
1,3.7766345e-5,"0.008800101"
3,2.7602233e-5,"0.01501291 / x1"
4,2.752475e-5,"0.014579508 / abs(x1)"
5,1.9472658e-5,"0.02686825 / (x1 + 0.8029606)"
7,1.8810337e-5,"((x1 + -3.269811) - 2.0187058) * -0.0034566722"
8,1.7483315e-5,"0.45713612 / (exp(x1 + 2.3250687) / x1)"
12,1.7444667e-5,"0.0648281 / (((exp(x1 + 0.98109645) + -0.14745294) / x1) / 1.8126267)"
22,1.7394697e-5,"abs((0.020719046 / exp(((x1 + 0.06552146) / exp(((x1 - 0.20295584) / 0.40499863) * (x1 + 0.085297555))) * 2.0604782)) / x1)"
23,1.7251321e-5,"abs((0.021037389 / exp(((x1 + 0.068947844) / exp((x1 + 0.095756635) * (x1 / 0.3554877))) * exp(x1 + 0.70392495))) / x1)"
25,1.7165936e-5,"(0.021119706 / exp((x1 + (((0.79965335 / x1) * exp(x1)) * 0.43368107)) / exp((x1 + 0.0258006) * (x1 / 0.5116753)))) / abs(x1)"
27,1.7140908e-5,"(0.020719046 / exp((x1 + (((0.7705759 / x1) * exp(x1)) * (x1 + 0.06552146))) / exp((x1 + 0.085297555) * (x1 / 0.40499863)))) / abs(x1)"
