Complexity,Loss,Equation
1,0.00048053561,"0.008151937"
3,0.0004392926,"0.016045088 / x1"
5,0.00043929258,"(-0.02879044 / x1) * -0.55728513"
6,0.00043557974,"exp(x1 * -0.6040093) * 0.033487625"
8,0.0004333626,"exp((x1 * x1) / -6.2756963) * 0.02219668"
13,0.00042749284,"((0.5781224 - sqrt(sqrt(sqrt(abs(log(x1)))))) * -0.17818496) / exp(x1)"
14,0.00042689097,"((0.6033567 - sqrt(sqrt(sqrt(abs(log(x1)))))) * -0.1884909) / exp(abs(x1))"
15,0.00042548808,"(-0.13051786 / abs(exp(x1))) * (0.5333977 - sqrt(sqrt(abs(log(x1 * x1)))))"
23,0.0004222899,"abs((((x1 / sqrt(x1)) * exp(((-0.64989436 - exp(x1 / -0.4069802)) * 0.41212127) * x1)) + -0.7090137) * (0.20802371 / x1))"
24,0.00041726363,"abs((((x1 / sqrt(x1)) * exp(((-0.6388667 - exp(x1 / -0.41063836)) * 0.39770284) * x1)) + -0.713185) * (0.21207136 / abs(x1)))"
25,0.0004151626,"abs((((x1 / sqrt(abs(x1))) * exp(((-0.475592 - exp(x1 / -0.60258037)) * 0.58027244) * x1)) + -0.65255857) * (0.22139005 / abs(x1)))"
29,0.00041516256,"(abs((((x1 / sqrt(abs(x1))) * exp((-0.475592 - exp(x1 / -0.60258037)) * (0.58027244 * x1))) + -0.65255857) * (0.22139005 / abs(x1))) * x1) / x1"
