Complexity,Loss,Equation
1,0.15988994,"1.5973316"
2,0.000519016,"sqrt(x1)"
4,0.00035952916,"sqrt(x1 - -0.035210136)"
6,0.00035820177,"sqrt(x1 - -0.040457994) * 0.9986659"
10,0.00035820162,"sqrt((((x1 - 1.782699) * -0.0026769978) + x1) - -0.035621148)"
13,0.00035809542,"sqrt((((x1 - log(x1)) - 1.8183277) * -0.0026224316) + (x1 - -0.035628684))"
14,0.00035736218,"((x1 + 0.43777195) * ((x1 + 1.5708051) * -0.00011555298)) + sqrt(x1 - -0.039011493)"
17,0.0003504365,"sqrt(x1 - (((x1 * (-0.009725828 / (log(x1) * (x1 + 2.4416459)))) / x1) + -0.034161776))"
18,0.00033877147,"sqrt(x1 - -0.018859021) + (abs(((x1 + 1.3204418) * (-0.0020176498 / log(x1))) / -1.2458065) + -0.0024078928)"
19,0.0003377945,"sqrt(abs(x1) - -0.018857451) + (abs((((x1 + 1.3204418) * -0.001723758) / log(x1)) / -1.2458065) + -0.0024140954)"
