Complexity,Loss,Equation
1,0.00044169734,"0.00760111"
3,0.00043885014,"0.0121232625 / x1"
6,0.00043150998,"sqrt((-0.0044168346 / x1) * -0.031194413)"
7,0.0004294067,"-0.06282355 / ((x1 + 1.3707943) * -2.1697323)"
8,0.0004255475,"exp((-1.4601293 / x1) - (x1 + 1.4563314))"
11,0.00042303465,"exp(-1.2687839 - (x1 + (sqrt(1.2811184) * 1.6339504))) * x1"
12,0.00042207842,"log(sqrt(exp(-0.079097666 / (-0.2436503 - exp(x1))))) * abs(x1)"
13,0.00042029083,"(x1 * exp((-1.4601293 - (x1 + sqrt(x1))) * 1.1872317)) * x1"
17,0.00041302093,"abs(-0.010135067 / sqrt(abs(((log(x1 * (x1 + -0.1187538)) - 0.3429107) * x1) + -0.06513608)))"
19,0.00041227517,"abs(-0.011203965 / sqrt(abs((log(x1 * (x1 + -0.15946288)) - 0.35817754) * (x1 + (0.31599703 / x1)))))"
29,0.00041006313,"(0.028305128 / ((-3.6930733 - abs(1.7591133 - x1)) - (((((1.7600354 - x1) * x1) / abs(x1 * (1.7892964 - (x1 / 1.7892098)))) + 1.6413046) / -1.2675443))) / -0.73079234"
