Complexity,Loss,Equation
1,1.5510736,"2.7715106"
2,0.0007324087,"abs(x1)"
3,0.00061486947,"x1 - -0.010841479"
5,0.0003157544,"(0.03459861 / x1) + x1"
6,0.00025892194,"log(abs(exp(x1) + 0.11881756))"
7,0.00021620386,"x1 + (0.022449482 / (-0.33038363 + x1))"
8,0.00017884476,"x1 + abs(0.035594944 / (x1 * x1))"
9,0.0001788447,"x1 + (0.012241423 / ((x1 * x1) * 0.3439091))"
10,0.00017413238,"(((0.20559105 / exp(x1)) * 0.5193347) / x1) + x1"
28,0.00017383981,"x1 + abs((x1 + (x1 + 0.91723996)) * abs(0.014757467 / ((exp(x1) * x1) * (sqrt(abs(x1 * abs(sqrt(x1) + 0.13381362))) * 0.39174062))))"
