Complexity,Loss,Equation
1,1.6990703,"2.820673"
2,0.0052460367,"abs(x1)"
3,0.005143835,"x1 + 0.0101091815"
5,0.0045205513,"(0.0416336 / x1) + x1"
7,0.004193601,"((0.038941972 / x1) / x1) + x1"
10,0.0041819615,"(((0.027966196 / x1) / x1) / sqrt(x1)) + x1"
12,0.004167662,"x1 + ((0.022517545 / x1) / (x1 / sqrt(1.9701123 / x1)))"
14,0.004130828,"(((0.03703739 / x1) / sqrt(x1 / (1.2263794 / x1))) + x1) / 1.002614"
24,0.0041012634,"((sqrt(abs(((0.083966665 / x1) * abs(log(x1))) / x1)) * 0.18706998) / (x1 / 1.2039342)) + abs(abs(abs(x1 + -0.008145676)))"
26,0.004056946,"abs(abs(((sqrt(abs(abs(log(abs(abs(x1)) + 8.0431346e-5))) * (0.12227734 / x1)) * 0.2219762) / (x1 / 1.2094289)) + abs(x1 + -0.019128917)))"
29,0.004040363,"abs(abs(((sqrt(abs(abs(abs(log(8.0431346e-5 + abs(abs(x1 * -1.0373917)))))) * (0.12227734 / x1)) * 0.2219762) / (x1 / 1.2094289)) + abs(x1 + -0.019128917)))"
