Complexity,Loss,Equation
1,0.004009121,"0.006086488"
3,0.003728,"0.030135483 / x1"
4,0.0036448736,"0.10696563 / exp(x1)"
5,0.0035108621,"0.030135483 / (x1 * x1)"
6,0.0034806274,"0.30908245 / exp(x1 + x1)"
7,0.003437486,"exp(-0.42174613 - exp(x1)) + -0.003717124"
9,0.0034374665,"(exp(-0.09046966 - exp(x1)) + -0.005058719) * 0.7207583"
12,0.0034374509,"((sqrt(x1) * -0.0028932001) + exp(-0.060844924 - exp(x1))) * 0.66372585"
15,0.0034364213,"(-0.09696069 + 0.7699644) * (exp(-0.060844924 - exp(x1)) + ((x1 - 0.25981537) * -0.002218394))"
17,0.0034364022,"((1.0956867 * -0.09696069) + 0.7699644) * (exp(-0.060844924 - exp(x1)) + ((x1 - 0.98974633) * -0.002218394))"
