Complexity,Loss,Equation
1,1.6978852,"2.8155155"
2,0.039696045,"abs(x1)"
3,0.03955819,"x1 * 0.9962214"
6,0.03925731,"x1 + (0.30545375 / exp(x1))"
7,0.038223736,"((x1 + -0.44888377) / 1.0296417) + 0.5218545"
9,0.03810844,"x1 + abs(-0.44888377 / exp(x1 + x1))"
10,0.038022302,"x1 + (0.30545375 / (exp(x1 + x1) + -0.7121545))"
11,0.03726304,"x1 + abs((x1 - 1.1080706) / exp(x1 + x1))"
13,0.037171792,"x1 + abs(log(abs(x1)) / abs(exp(abs(x1 + x1))))"
15,0.037097387,"abs(x1 + abs((abs(log(x1)) * 1.2036184) / exp(abs(x1 + x1))))"
21,0.03705986,"(abs((1.1643795 - x1) / exp((x1 + x1) - (x1 / exp(x1 + x1)))) + abs(x1)) - 0.013162116"
24,0.037044626,"abs(abs(abs((sqrt(exp((2.549935 / abs(abs(exp(x1 + x1)))) + -0.36801565)) - x1) / exp(x1 + x1)) + x1))"
25,0.037003197,"abs(abs((((1.4901081 / exp(x1 + (abs(x1) + -0.11271908))) - abs(abs(x1))) + 0.7335713) / abs(exp(x1 + x1))) + x1)"
28,0.036996305,"abs(x1 + abs(abs(abs((sqrt(abs((exp(x1) + 4.1976037) / (exp(x1 + abs(x1)) + exp(-0.754182)))) - x1) / exp(x1 + x1)))))"
