Complexity,Loss,Equation
1,0.031951778,"-0.002783115"
3,0.03178218,"0.022501409 / x1"
4,0.03176521,"exp(x1 / -0.38999435)"
5,0.031365678,"(0.03608557 / x1) / x1"
7,0.031284414,"((0.03608557 / x1) / x1) / x1"
8,0.031176556,"(0.25175163 / exp(x1 + x1)) / x1"
11,0.031005392,"(((x1 / x1) / x1) + -0.7690887) / (x1 * 11.191081)"
15,0.03095893,"((1.8953787 / exp(abs(x1 * x1))) + -0.42466334) / ((x1 * 1.5941665) / 0.14811434)"
19,0.03090768,"exp(-0.19287011 / (0.28650698 / (x1 / 0.10082887))) * abs((0.85480416 / (log(x1) * abs(x1))) * 2.13629)"
20,0.030758116,"(((-0.19287011 / ((4.854367 / x1) / -0.09843445)) / (x1 + (0.118448034 / (x1 - abs(-1.1723211))))) / x1) / 0.17709115"
