Complexity,Loss,Equation
1,1.4713979,"2.7127657"
2,0.03083488,"abs(x1)"
3,0.029611181,"x1 - -0.03498109"
5,0.029054275,"(x1 * 0.98072445) - -0.08659487"
7,0.028791511,"abs((-0.22076006 / exp(x1)) - x1)"
10,0.02878804,"log(abs(abs(exp(x1) + (exp(0.17888239) / 5.349005))))"
11,0.028780187,"x1 - ((0.1561687 / sqrt(exp(x1 / 0.6031361))) * -1.2059401)"
13,0.02875255,"x1 - (((x1 + x1) * -1.6638813) / exp(sqrt(x1 / 0.07290223)))"
17,0.028733412,"abs(abs(x1 - (-0.9923079 / exp(sqrt(x1 - (-0.28930095 / (x1 / 0.6505955))) / 0.4365724))))"
18,0.028019056,"(x1 / (((log(x1) * 1013.2788) / 1.2359997) * (x1 + -1.0092518))) + ((x1 + 0.06115912) * 0.98749566)"
