Complexity,Loss,Equation
1,0.00060491485,"0.057423916"
3,0.00032852378,"0.092407554 / x1"
4,4.803258e-5,"0.09240608 / sqrt(x1)"
6,2.8233699e-6,"abs(-0.19675183 / (x1 - -1.1067039))"
7,2.7641092e-6,"abs(abs(-0.1945873 / (-1.084574 - x1)))"
9,1.7236337e-6,"abs((0.71685946 / (-2.0836139 - sqrt(x1))) - -0.13895078)"
10,7.5337203e-7,"abs(-0.17089012 / (x1 - ((-0.23052791 / x1) - 0.5497176)))"
11,4.8982514e-7,"abs(-0.16429184 / ((-0.17540467 - sqrt(0.28609276 / x1)) - x1))"
12,4.7066214e-7,"0.16537891 / abs(abs((-0.20024247 - sqrt(0.2736383 / x1)) - x1))"
15,1.2308199e-7,"abs(-0.16467461 / (x1 - ((-0.366775 / (exp(x1 - 0.18939756) - x1)) - 0.45073047)))"
16,1.2211456e-7,"abs(-0.16469371 / abs(x1 - ((-0.3691728 / (exp(x1 - 0.18988793) - x1)) - 0.44915015)))"
26,5.8785936e-8,"abs(((-0.5755417 / exp(x1 - 0.060417175)) / (x1 - ((x1 / -0.4786569) / exp(((x1 - 0.022349477) - x1) - 0.36349732)))) - (-0.15001622 / x1))"
