Complexity,Loss,Equation
1,0.00050928287,"0.05739404"
3,0.00025749806,"0.10092913 / x1"
4,3.4448367e-5,"0.08819831 / sqrt(x1)"
6,3.437426e-5,"(0.08780892 / x1) * sqrt(x1)"
8,2.8784421e-5,"(0.07544541 / sqrt(x1 + -0.14885162)) * 1.099384"
9,8.306646e-6,"x1 / (((x1 * x1) + 0.4806871) * 6.809832)"
11,3.8112844e-6,"0.08808051 * ((x1 / (x1 * (x1 + 1.051509))) / 0.45513278)"
16,3.3991096e-6,"(((x1 + (-0.13401219 - x1)) + x1) / x1) - (x1 / abs(x1 + 0.30163446))"
23,2.9656533e-6,"(abs(((x1 + x1) + (-0.09500645 - x1)) / x1) - sqrt(x1 / (x1 + 0.44404712))) / ((x1 - x1) + 0.7476159)"
25,2.2886454e-6,"((((x1 + x1) + (-0.096667096 - x1)) / abs(x1)) - sqrt(x1 / (x1 + 0.650467))) / (((x1 - x1) * x1) + 1.2974315)"
