Complexity,Loss,Equation
1,1011.07166,"33.572548"
2,44.984154,"exp(x1)"
4,30.189198,"exp(x1) + x1"
5,0.0941687,"x1 * (x1 * x1)"
7,0.0939158,"(x1 * (x1 * x1)) + 0.015904784"
8,0.09391568,"((x1 * x1) * abs(x1)) + 0.0159028"
9,0.0926141,"x1 * (((x1 + 0.02121512) * x1) * 0.99480325)"
14,0.092442855,"abs(x1 + 0.14591537) * ((abs(abs(x1)) * (x1 + -0.11409737)) * 0.99328935)"
15,0.09244084,"abs((x1 + 0.09222347) * (abs(x1 * abs(abs(x1) * -0.9845894)) + -0.10791379))"
20,0.09182104,"abs((abs((x1 * x1) - -0.27905503) * (0.04205449 - x1)) + abs(0.49814633 - (-2.7777245 / (x1 / -0.10328625))))"
21,0.09133528,"abs((abs(-0.48569503 - abs(x1 * x1)) * (0.06728659 - x1)) + abs(0.96626645 - (-2.7816164 / (x1 / -0.21043515))))"
