Complexity,Loss,Equation
1,0.12411485,"0.01306889"
3,0.124105,"x1 * 0.00788052"
4,0.124083735,"sqrt(x1) * 0.0131998025"
5,0.12403941,"(x1 * 1.0051974) - x1"
6,0.123922825,"(-0.056207985 / exp(x1)) / x1"
7,0.122486964,"(log(x1) / exp(x1)) / 2.2645245"
8,0.12190948,"log(x1) / exp(exp(x1 / 2.2645245))"
10,0.121313035,"(log(x1) / exp(exp(x1 / 1.8354373))) * x1"
12,0.12103337,"((log(x1) / exp(exp(x1 / 1.8354373))) * x1) * 1.315945"
21,0.11859448,"(((0.20258604 / ((x1 / -0.17204015) + (x1 * (exp(1.0074971) + x1)))) * x1) * -0.06381304) / log(x1 - -0.02839921)"
25,0.115003705,"((0.049784873 / (x1 / (x1 / 1.102924))) / 3.6739836) / log(x1 / exp(log(exp((x1 / (x1 / (x1 / 2.7132304))) / 2.2378457))))"
