Complexity,Loss,Equation
1,2.3484213,"-0.07649527"
3,2.3468647,"x1 * -0.028376056"
4,2.346572,"log(x1) * -0.08356474"
6,2.3463793,"(sqrt(x1) * x1) * -0.015332712"
7,2.3389406,"((0.39781538 / x1) - 0.39781538) / x1"
9,2.3039722,"(-0.0199191 / ((x1 + -1.2031612) / 0.87342)) / x1"
15,2.278648,"exp(1.8608497 / abs(sqrt(x1))) * sqrt(exp(abs(x1 + -3.2633934) * -16.369627))"
19,2.2555652,"((((0.39781538 / ((x1 - 0.16286513) / x1)) - 0.39781538) / x1) - (0.16286513 / x1)) / (x1 + -1.7140273)"
24,2.2267678,"sqrt(exp(-2.076436 * (x1 * abs(log(exp((0.41001415 / log(x1)) * (x1 * x1)) / 6.2742743) - sqrt(x1))))) + -0.3063407"
27,2.1978247,"(sqrt(exp((-2.076436 * x1) * abs(log(exp((0.41001415 / log(abs(x1))) * (x1 * x1)) / 6.2742743) - sqrt(x1)))) + -0.3063407) * 1.4717287"
