Complexity,Loss,Equation
1,1020.02167,"33.248146"
2,70.00667,"exp(x1)"
4,57.242523,"exp(x1) + x1"
5,21.234663,"(x1 * x1) * x1"
7,21.098682,"((x1 * x1) * x1) / 1.0080289"
11,21.067606,"(x1 * ((x1 + 0.097695276) * 0.48451936)) * (x1 + x1)"
13,20.779661,"(x1 * ((x1 * 0.40645435) + 0.9747264)) * ((x1 + x1) - 1.8678042)"
15,20.778606,"((((x1 * 0.40237543) + 0.621957) * (x1 + x1)) * x1) - (x1 * 1.8944277)"
18,20.627903,"abs(x1 - (((((x1 * (-1.916518 - x1)) * (x1 + x1)) / -2.615682) + -0.50808156) - x1))"
20,20.610382,"abs((x1 - x1) - ((x1 * -2.7326746) + ((-2.3613634 - x1) * (x1 * ((x1 + x1) / -2.718355)))))"
22,20.602509,"abs(((((((x1 + x1) * x1) * (-2.742925 - x1)) + x1) - (x1 * -5.5250278)) / -2.8075566) - (x1 - 0.42567614))"
