Complexity,Loss,Equation
1,1260.2903,"34.523273"
2,83.228195,"exp(x1)"
4,77.81665,"exp(x1) + 2.3263273"
5,32.741955,"(x1 * x1) * x1"
7,32.696766,"((x1 * x1) * x1) + 0.21261153"
10,32.64169,"abs((x1 * (x1 * x1)) - (-0.24101269 / x1))"
12,32.477745,"abs((((x1 * x1) + 1.577488) * (x1 + -0.29791957)) - 1.0618051)"
14,32.438946,"(abs(((x1 * x1) * (x1 * 0.9607426)) - 1.390651) + 0.025225658) + x1"
16,32.438465,"abs((((x1 * 0.9657444) * (x1 * (x1 - 0.025306635))) + -0.2909131) - 1.0232759) + x1"
19,32.410397,"(((x1 - -0.7238177) + (log(x1 + 0.4816866) * -0.36730856)) * abs((x1 * x1) + -0.8767598)) + 0.93785685"
20,32.153015,"((x1 - (log(x1 + 1.2783769) + -1.9391545)) * ((x1 * x1) + -1.1348661)) + abs(log(x1 + -0.54084325))"
29,29.613653,"abs(((x1 - 3.0068572) + ((x1 / log(log(x1 + 1.3194697))) * (log(x1 + 0.9504133) + -0.65503705))) * (x1 * log(abs((x1 + -1.0825417) + x1))))"
