Complexity,Loss,Equation
1,1220.4999,"33.25657"
2,56.520348,"exp(x1)"
4,51.264854,"exp(x1) + x1"
5,27.934948,"(x1 * x1) * x1"
7,27.816143,"(x1 * (x1 * x1)) - 0.34475163"
9,27.735132,"(x1 * (x1 * (x1 * 1.0083088))) - 0.6238228"
10,27.710794,"(x1 * (x1 * x1)) - abs(-0.7908645 / x1)"
12,27.20366,"(((x1 * x1) * x1) - abs(x1 + -1.5136127)) * 1.0359756"
14,27.167578,"(x1 * ((x1 * x1) * 1.0482891)) - abs(x1 + (-2.1422613 / x1))"
20,26.96481,"((exp(x1) * 0.48083633) + (((((x1 * 2.1574988) + x1) + -2.662155) * x1) + -0.35014582)) - abs(abs(x1))"
22,26.95667,"((x1 * x1) * (x1 * 1.2091384)) - abs(x1 * (((((x1 * 0.77426326) * x1) - x1) * -1.679204) / x1))"
