Complexity,Loss,Equation
1,0.015856538,"0.30673382"
3,0.006352016,"0.54381216 / x1"
4,0.00093747646,"sqrt(0.22495984 / x1)"
5,0.0008082922,"(0.36295858 / x1) - -0.1303869"
7,4.7933238e-5,"(1.7741011 / (x1 + 0.97132516)) * 0.56091094"
8,1.7265094e-5,"abs((-1.9743754 / -1.9743754) / (x1 + 0.910054))"
9,7.0307156e-6,"(x1 / x1) / abs(x1 + exp(-0.08054378))"
12,2.0744578e-6,"abs((-1.9743754 / ((x1 + x1) / x1)) / (x1 + 0.910054))"
18,1.930896e-6,"abs(((-1.0596952 / ((x1 + x1) / x1)) / (x1 + ((x1 * 0.90766877) / x1))) / 0.536678)"
27,1.8246832e-6,"abs((-1.9495692 / (x1 + abs(((0.57830733 / x1) + ((((0.6447524 / x1) + ((x1 / x1) / 0.5751632)) * -0.5371744) / 0.5432081)) * -0.4913036))) * 0.4988839)"
28,1.6321932e-6,"exp((1.2414039 / x1) / (2.2581968 / ((x1 - x1) + -0.22887181))) * (((0.98923576 / x1) / ((x1 - -0.87726) / ((x1 - 0.11384293) + 0.24245372))) * 0.98923486)"
