Complexity,Loss,Equation
1,0.018357955,"0.31388158"
3,0.007933669,"0.5138973 / x1"
4,0.00093755417,"sqrt(0.22594447 / x1)"
6,4.643217e-5,"abs(0.98404384 / (x1 + 0.9446516))"
7,1.6176908e-5,"(0.8776213 / (x1 + 0.7634216)) - -0.018747069"
10,2.5031873e-6,"abs(2.9691694 / ((x1 + (x1 + x1)) + 2.7433293))"
11,2.5031845e-6,"abs(2.9691694 / ((x1 + abs(x1)) + (x1 + 2.7433293)))"
12,2.5031616e-6,"abs(2.9691374 / abs((x1 + x1) + abs(x1 + 2.7433598)))"
13,1.9525073e-6,"abs(((x1 + -0.012331584) / (x1 + 0.8951734)) / abs(x1)) + -0.0030673"
17,1.910898e-6,"0.98404384 / abs((x1 - (0.14841916 / ((x1 + 1.9054791) / sqrt(x1 - 0.23128223)))) + 0.9446516)"
