Complexity,Loss,Equation
1,1.4438255,"3.037177"
2,0.071339294,"abs(x1)"
3,0.01998873,"x1 + 0.22660564"
5,0.009704162,"log(x1 + exp(x1))"
6,0.004651546,"abs(-0.49845245 / x1) + x1"
7,0.0013065011,"abs(abs(x1 - (-0.40903768 / x1)))"
8,0.0013065009,"abs(x1 - (-0.8181556 / (x1 + x1)))"
10,0.00028340638,"abs(abs((-0.8181556 / (x1 + sqrt(x1))) - x1))"
12,0.0002833965,"abs(abs((-0.81786424 / abs(x1 + sqrt(x1))) - abs(x1)))"
13,0.00016705328,"abs(abs((-0.84627765 / abs(x1 + sqrt(x1))) - x1) * 0.99566627)"
15,0.00016606617,"exp(log(x1 + ((x1 / (x1 * -0.927825)) / ((-0.30196697 - x1) / 0.50721705))))"
17,0.00016574797,"log(exp(x1 + ((x1 / (x1 * -0.93197155)) / (((-0.50698197 - x1) + 0.20225997) / 0.5096919))))"
25,0.00015550277,"exp(log(((((x1 / x1) / 0.73464113) / ((-0.5417083 - x1) + 0.3621016)) / (-0.6418454 - ((x1 / (x1 + -0.09773035)) / 0.52908844))) + x1))"
27,0.00015179682,"abs(abs(abs(abs(x1 - (-0.5032942 / (sqrt(abs(((-0.108251974 * 0.30146018) + 0.15597528) / ((((x1 + 0.15597528) / 0.8886634) + x1) + x1))) + x1))))))"
29,0.00014379829,"abs(abs((x1 - (-0.52299285 / abs(abs(x1 - (-0.99474436 / abs(abs(((x1 + x1) - (-0.7175813 / x1)) + (x1 + abs(sqrt(x1)))))))))) / 1.0020788))"
