Complexity,Loss,Equation
1,1.2205355,"2.9108014"
2,0.07292544,"abs(x1)"
3,0.018625284,"x1 + 0.23302291"
5,0.0038529257,"(x1 - -0.553757) * 0.9007485"
6,0.0025351115,"x1 + exp(x1 / -1.4511051)"
7,0.0006648545,"log(exp(x1 * 1.0333575) - -1.432004)"
8,0.00035473894,"abs(log(exp(1.0266672 * x1) - -1.4734366))"
11,0.0003547389,"log(exp(x1 * 1.0266672) - ((-1.4734366 * x1) / x1))"
14,0.00035212692,"abs(log(exp(x1 * 1.0266672) - ((x1 * -1.4734366) / x1))) - -0.0025959655"
15,0.00024414633,"log((exp(x1) * 1.1304466) - log((x1 / (log(x1) + 1.3181921)) * 0.3899668))"
16,0.00024414627,"abs(log((exp(x1) * 1.1304466) - log((0.3899668 * x1) / (log(x1) + 1.3181921))))"
17,0.00015803223,"abs(abs(log(exp(x1 * 1.0189083) - (log(abs(-0.9251867 / (-1.3667796 / x1))) - x1))))"
20,0.00014930277,"abs(x1 - ((log(log((3.1276407 / ((x1 * 0.5192961) * x1)) + 2.4049237) * 3.7224078) - 1.0619032) * -0.43515792))"
