Complexity,Loss,Equation
1,0.064845785,"x1"
3,0.015256124,"x1 - -0.22268604"
4,0.015256122,"abs(-0.22268794 - x1)"
5,0.003009642,"(x1 / 1.0963911) - -0.46546036"
6,0.0030096336,"abs((x1 / 1.0963696) - -0.4653137)"
7,0.0010314343,"((x1 * x1) + 0.428188) / x1"
10,0.00016927088,"((x1 / 0.9395125) - -0.3676069) - (log(x1) / 2.7613842)"
12,0.00016422225,"(((x1 / 0.9395125) - -0.3676069) - (log(x1) / 2.7613842)) - 0.002234429"
15,0.00016402855,"abs(abs(abs((((x1 / 0.9391867) - -0.28665587) - (log(x1) / 2.7536955)) - -0.07858267)))"
21,0.00015123318,"((x1 / 1.0425456) - -0.73871034) - abs(abs(log(abs((x1 / 1.5580238) - -0.74429655)) / (0.7352563 - (x1 / -2.087249))))"
