Complexity,Loss,Equation
1,0.07026501,"x1"
3,0.018515099,"x1 - -0.22748587"
5,0.0037171603,"(x1 - -0.54498494) * 0.9034282"
6,0.002301262,"(0.45363584 / x1) + abs(x1)"
7,0.0014577257,"(0.4084252 / abs(x1)) + abs(x1)"
11,0.00016993083,"(((x1 * 0.5527399) / x1) / (x1 + 0.32580677)) + x1"
12,0.0001699308,"x1 + abs(((x1 / x1) / (x1 + 0.32585278)) * 0.5527522)"
13,0.00013956956,"(x1 / x1) * (((0.66551965 / (x1 + 0.47653523)) + -0.02708658) + x1)"
21,0.00013956451,"((((x1 / x1) * 1.9879557) / (((x1 + 0.8944518) + (x1 + 0.52326983)) + x1)) + (x1 - 0.039267436)) - -0.012787332"
26,0.00013656095,"abs(((x1 / x1) / ((x1 - (((x1 / x1) + -2.2569573) / (x1 - ((0.24335879 - (x1 + x1)) + -0.9872775)))) + x1)) + x1)"
