Complexity,Loss,Equation
1,0.003740392,"0.0024882553"
3,0.0036387958,"0.016047642 / x1"
5,0.0035600937,"exp(exp(x1) * -1.6831422)"
7,0.003555422,"0.010666289 / ((x1 * x1) + -0.12678269)"
8,0.00353266,"exp(exp(abs(x1)) * -2.8271813) / 0.107812464"
13,0.0035212848,"abs(((x1 * 0.06378091) + -0.06329241) / (x1 / exp(1.11041 - x1)))"
15,0.0035039347,"abs(((x1 * 0.06378091) + -0.06329241) / ((x1 - -0.20605227) / exp(1.11041 - x1)))"
17,0.0034841064,"abs(log(x1) * (((0.2624586 / (exp(x1 + x1) / sqrt(x1))) / 0.7511036) / 0.7209481))"
21,0.003480717,"abs((log(x1) * -0.21966542) / abs(exp(x1 + ((x1 / x1) / (((1.4796765 / x1) / x1) / 0.27729693)))))"
26,0.0034564242,"abs((-0.09241535 / (((x1 - abs(-0.09883415 - ((x1 / 0.96301097) / ((x1 + -1.132064) * 1.2924514)))) / exp(-0.32812294 - x1)) + x1)) * 0.11120031)"
