Complexity,Loss,Equation
1,0.003917407,"0.0061968537"
3,0.003827447,"0.01920627 / x1"
4,0.0038203932,"0.06239178 / exp(x1)"
5,0.00377216,"(0.020502092 / x1) / x1"
7,0.0036899596,"0.002611488 / ((x1 - 0.5010435) / 1.9819276)"
13,0.0036693872,"abs(((0.78442323 - x1) / exp((x1 + x1) / 0.78442323)) / x1)"
14,0.0036612346,"abs(((0.7597307 - x1) / abs(exp((x1 + x1) / 0.84831285))) / x1)"
16,0.0034168283,"abs(sqrt(0.00031546428 / abs(x1 / ((-1.1865689 / (x1 + -1.570007)) * -0.890759))) / x1)"
20,0.0034037451,"abs(sqrt(0.00031546428 / (x1 / abs(((-1.1865689 / (x1 + -1.570007)) * -1.1865689) / (x1 - 0.0)))) / x1)"
22,0.0034037034,"(sqrt(0.00031546428 / abs(x1 / (((1.05242 / (x1 + -1.570007)) * -1.1865689) / (0.0 - abs(x1))))) / x1) / 0.96047086"
23,0.0034027167,"sqrt(0.00031546428 / abs(x1 / (((1.05242 / (x1 + -1.570007)) / -1.1865689) + (abs(x1 + -1.570007) - -1.009566)))) / abs(x1)"
24,0.0033931166,"sqrt(0.00031546428 / (x1 / abs(((1.05242 / (x1 + -1.570007)) / -1.1865689) + ((x1 - (x1 - 0.21099249)) - -1.009566)))) / abs(x1)"
26,0.003389685,"sqrt(0.00031546428 / (x1 / abs(((1.05242 / (x1 + -1.570007)) / -1.1865689) + (abs((x1 - sqrt(x1)) - 0.21099249) - -1.009566)))) / abs(x1)"
