Complexity,Loss,Equation
1,0.03270232,"-0.0022449163"
3,0.03250589,"0.021946305 / x1"
4,0.032426495,"exp(-2.5052068 - x1)"
5,0.03201936,"-0.036094803 - (-0.066102505 / x1)"
6,0.031926163,"exp(x1 * -4.7790465) / x1"
8,0.03173469,"-0.025929749 * log(abs(log(x1) - -0.55083054))"
11,0.0317294,"exp(x1 * (exp(x1 * x1) / -0.3622559)) + -0.010984864"
12,0.031722274,"exp((x1 * sqrt(exp(x1 * 2.5227096))) / -0.5563761) + -0.010984864"
14,0.03169954,"exp(x1 * (sqrt(exp(x1 * (x1 / 0.72655576))) / -0.3622559)) + -0.010984864"
16,0.03168688,"(log(abs(log(x1) - -0.55083054)) * (-0.025929749 / ((0.83145034 / x1) + -0.02012157))) / x1"
17,0.031677146,"((-0.025929749 / (x1 / x1)) + (-0.02012157 / exp(x1))) * log(abs(log(x1) - -0.55083054))"
22,0.030846888,"((-0.025929749 / x1) / ((x1 + ((x1 - (x1 / 0.25665453)) * log(abs(x1 - log(x1))))) * -1.1711667)) / 0.9053953"
