Complexity,Loss,Equation
1,0.026349321,"-0.007913136"
3,0.026295278,"x1 * -0.0035607798"
4,0.026165437,"exp(x1) * -0.0003590081"
6,0.026026806,"exp(x1 / 0.50509375) * -5.058182e-6"
7,0.025947507,"x1 * (0.0035853276 / (x1 + -1.1667742))"
9,0.025921002,"((x1 * -0.0035607798) / (x1 + -0.6477434)) * x1"
19,0.025355395,"abs((0.03179496 / ((x1 + 0.491969) - exp(((x1 - 2.0187657) - x1) + x1))) / (x1 / -0.69103885))"
21,0.025313541,"abs(((0.03179496 / ((x1 + 0.491969) - exp(x1 + ((x1 - 2.0187657) - x1)))) / sqrt(abs(-1.1240664))) / x1)"
23,0.02523674,"(-0.50670344 / ((((-0.2598217 / (log(x1) * ((exp(x1) * 0.31042412) + 0.06748396))) + exp(x1)) / -0.42482755) * exp(x1))) / x1"
27,0.025124203,"((0.03179496 / ((x1 + 0.491969) - exp(((x1 + x1) - 2.0187657) - x1))) / sqrt(abs((x1 - exp(2.0246708 - x1)) - -1.1240664))) / 1.6674958"
28,0.025027955,"abs(((0.03179496 / (exp(x1 + ((x1 - 2.0187657) - x1)) - (x1 + 0.491969))) / sqrt(abs((x1 - exp(2.0246708 - x1)) - -1.1240664))) / 1.6674958)"
29,0.024838235,"abs(((0.026430339 / ((x1 + 0.4820722) - exp(x1 + ((x1 - 2.014352) - x1)))) / sqrt(abs(abs((x1 - exp(0.31769806 - x1)) - -1.1249692)))) / x1)"
