Complexity,Loss,Equation
1,0.0004568805,"0.019771587"
3,5.3075044e-5,"0.043574207 / x1"
4,5.3075033e-5,"0.043577056 / abs(x1)"
5,3.5755675e-5,"(0.05190658 / x1) - 0.0068094926"
10,3.171685e-5,"((exp(-0.18745643 / x1) / x1) * 0.07279124) + -0.012361746"
12,3.1703e-5,"((exp((-0.19694537 / x1) + -0.13906857) / x1) * 0.08497195) + -0.012639331"
26,3.1542935e-5,"abs(x1 * (((0.033083163 / (sqrt(x1) / abs(abs(exp((x1 / (x1 * (1.1087947 / (x1 / 2.0092528)))) / -0.8838004))))) / x1) * 2.4219089))"
27,3.1542888e-5,"abs((x1 * (-0.039211903 / abs(sqrt(x1) / exp(x1 * (1.5308768 / ((x1 * (0.7194681 / (x1 / 3.4709907))) / -0.8290123)))))) / x1) * 2.0438352"
28,3.153331e-5,"abs(x1 * (((0.029746797 / (sqrt(x1) / abs(abs(exp(x1 / ((x1 * (1.0762926 / (x1 / 1.3195138))) / -0.7007056)))))) / x1) * 2.6972175)) + -0.000393013"
29,3.149853e-5,"(abs((x1 * 0.029660398) / sqrt(x1 / exp(x1 / (x1 * ((0.93155915 / (x1 / 1.2014797)) / -0.92273116))))) / abs(x1)) * ((x1 * -0.23434879) + 2.6970003)"
