Complexity,Loss,Equation
1,0.0010498315,"0.0169131"
3,0.0007297357,"0.041601326 / x1"
4,0.00070292666,"exp(-2.0070148 - x1)"
10,0.00070128177,"abs(abs((0.008278375 / x1) - (-0.109126255 / exp(x1))))"
11,0.00070032553,"abs((((0.010773241 / x1) * 1.8580507) - -0.111753285) / exp(x1))"
12,0.0006993328,"log(exp((-0.14534366 / (-2.0578058 - x1)) * 0.9308192)) / abs(x1)"
16,0.00069787184,"abs((-0.079615064 / exp(x1)) - ((1.4036814 * ((1.3237361 / sqrt(x1)) * 0.008993837)) / x1))"
18,0.0006969665,"abs(((0.014255497 - ((x1 + 1.7375796) / exp(x1))) * (0.030097155 / x1)) * exp(x1 * 0.4290609))"
23,0.00069662294,"abs(0.017484637 - (((((x1 / exp(x1)) + 1.4720833) * ((x1 * 0.27097383) + 0.03872786)) + 3.0830708) * ((0.034295566 / x1) * 0.5063991)))"
25,0.00069629867,"(abs(((x1 - -2.5331542) / abs((10.801596 - (x1 * -1.157287)) * abs(x1))) / abs((x1 * 0.31124958) - 10.845555)) + -0.0096022915) * 2.4777503"
30,0.00069598434,"((((x1 / x1) * ((x1 - (x1 + -1.8006717)) * 0.066259444)) / ((x1 * x1) - -0.52790314)) / (x1 * (x1 - -0.032350473))) * ((x1 * 0.63236547) * abs(x1))"
