Complexity,Loss,Equation
1,0.3134153,"0.8692794"
2,0.0016769847,"log(x1)"
4,0.0007150655,"log(x1 + 0.04875338)"
5,0.00071506546,"log(abs(x1) + 0.048780527)"
6,0.00071147014,"log(x1 + 0.053108335) + -0.003277455"
9,0.0007073866,"(-6.984713e-5 * exp(x1)) + log(x1 + 0.05022123)"
11,0.0007046255,"log(log(log(log(x1 + 2.3763216)) + exp(abs(x1))))"
12,0.0007046252,"log(log(exp(x1) + abs(log(abs(log(x1 + 2.376193))))))"
13,0.00070462504,"log(log(exp(x1) + log(abs(abs(log(abs(x1 + 2.3762593)))))))"
17,0.0006995675,"log(log(exp(x1) + log(log(abs((((x1 - -0.9024593) / 1.185998) - 0.27065507) + 1.9839764)))))"
19,0.00069578097,"log(abs((x1 + -0.08823351) + ((x1 + exp(log((1.4654615 / x1) - -1.51888))) * -0.010626208)) + 0.18468937)"
26,0.00069578073,"log(abs(1.072013 - abs(log(((x1 / x1) + abs((x1 * -1.5534656) + 0.8067338)) + (abs((x1 * 0.13526013) + 2.3531034) * exp(x1))))))"
