Complexity,Loss,Equation
1,0.28711376,"0.907979"
2,0.0068794363,"log(x1)"
4,0.0063733957,"log(x1 + 0.038562518)"
6,0.006274832,"log((x1 + 0.06265041) * 0.98298496)"
8,0.0062741926,"log(((x1 + 0.003843046) / 1.0181885) - -0.0602134)"
10,0.0062721036,"log(x1 - ((0.025794879 / (x1 / -1.3685486)) - 0.0033738352))"
18,0.006266979,"log(abs((0.044979554 - x1) - ((0.7481065 / exp(x1 / x1)) / ((x1 - 0.69427276) + 2.7694113))))"
19,0.006266003,"log(abs((-0.08910834 - abs(x1)) - ((-0.26893896 / exp(0.73074085 / x1)) / (3.7308614 - (x1 / x1)))))"
21,0.0062651588,"log(abs((0.00081748166 - x1) - abs((0.3073364 / exp(x1 / x1)) / (((x1 * x1) - 0.8909016) + 2.343397))))"
24,0.006263882,"log(abs(-0.007813908 - (x1 / (((x1 + abs(x1)) / (x1 + x1)) - ((0.3531228 / (x1 + exp(x1))) / exp(x1))))))"
28,0.006262646,"log(abs(-0.009196057 - (x1 / (((x1 + abs(x1)) / (x1 + x1)) - ((0.19078109 / (x1 + exp(x1))) / ((-0.21351787 - x1) + exp(x1)))))))"
