Complexity,Loss,Equation
1,0.0067065903,"0.030810144"
3,0.006275285,"0.056804277 / x1"
5,0.006248652,"0.07324166 / (x1 - -0.24781485)"
6,0.0062158597,"(0.14376213 / exp(x1)) + 0.011424841"
7,0.006206218,"0.19896151 / ((x1 * x1) + 1.8635105)"
9,0.006091688,"abs(-0.016316647 / abs(0.64621824 - (x1 + -0.31929728)))"
17,0.005993954,"abs(((sqrt(abs(0.22268572 / log(x1 / 1.0))) / (x1 + 1.103326)) / -1.5511065) * -0.27949828)"
23,0.005975387,"(((0.3122555 / sqrt(abs(log(x1 / 1.0450621)))) / (x1 + 1.0953262)) / -1.5382307) * (((0.20994733 / x1) * log(x1)) + -0.35932747)"
26,0.0059549958,"abs(abs((-0.008259059 - abs((-0.033989884 / ((0.65691185 - x1) + 0.3299907)) * abs((-0.026396068 / abs((0.6473045 - x1) + -0.318211)) + -0.3687162))) * -1.1637156))"
28,0.005942578,"abs((sqrt(abs(0.38507587 / log(x1 / 1.0310944)) / (x1 + 0.5883236)) / -2.256281) * ((log(x1) * (0.24406381 / (x1 + (1.7052219 / x1)))) + -0.18007664))"
