Complexity,Loss,Equation
1,0.007424434,"0.013880117"
3,0.0072328947,"0.030509846 / x1"
5,0.0072080595,"abs(-0.08566833 / exp(x1))"
6,0.0071962187,"0.10147772 / exp(x1 / 1.1083684)"
7,0.0071885115,"abs(-0.08566833 / exp(x1 / 1.2284806))"
9,0.007128601,"abs((x1 * -0.1800154) / exp(sqrt(exp(x1))))"
11,0.007123758,"(-0.08566833 / (exp(sqrt(exp(x1))) / -2.182708)) * abs(x1)"
13,0.007106709,"abs((-0.11189096 / (exp(sqrt(exp(x1) * 1.3437043)) / -2.6488342)) * x1)"
16,0.007105559,"abs((x1 / sqrt(x1 / (1.7504872 / (exp(x1 * x1) + 3.688942)))) / -11.579599)"
18,0.0070887306,"(abs(sqrt(x1 / (x1 / (1.7504872 / (exp(x1 * x1) + 3.688942))))) / 12.476019) * x1"
22,0.0070786797,"x1 / (sqrt(abs(abs((exp(sqrt(x1)) + abs(exp(x1 * (x1 + 1.5641005)))) / (x1 + -1.0180236)))) / 0.37608114)"
25,0.007070314,"x1 / (sqrt(abs(((exp(sqrt(x1)) + (exp(x1 * (x1 + 1.5641005)) + x1)) + x1) / abs(x1 + -1.0180236))) / 0.37608114)"
26,0.0070541063,"x1 / (abs(sqrt(((exp(x1 * abs(x1 + 1.5641005)) + ((x1 + x1) + 1.5285968)) + 3.9048593) / abs(x1 + -1.0180236))) / 0.41228184)"
27,0.0070538446,"x1 / (sqrt(((x1 + 3.4925776) + ((exp(x1 * (x1 + 1.5641005)) + (x1 + 1.5285968)) + x1)) / abs(abs(x1) + -1.0180236)) / 0.41228184)"
28,0.007015416,"x1 / (sqrt(abs((x1 + ((abs(exp(x1 * (x1 + 1.5385653))) + ((x1 + 1.5288634) + x1)) + 3.492837)) / abs(x1 + -0.91506255))) / 0.47296023)"
