Complexity,Loss,Equation
1,0.028772429,"-0.10711202"
3,0.018660087,"v_b * -0.27924988"
4,0.013210634,"square(v_b) * -0.4748738"
5,0.009250089,"0.012774147 - square(square(v_b))"
6,0.009075138,"m * (square(v_b) * -0.084590115)"
7,0.008021108,"(0.09263673 / m) - square(square(v_b))"
8,0.00073386333,"(m / square(v_b + -0.96031404)) * -0.0024003005"
9,0.00016558525,"(m / square(square(v_b + -1.1845512))) * -0.0021520273"
11,4.3808628e-5,"(square(v_b) * (m * -0.01191056)) / square(v_b + -1.0803787)"
12,3.2671192e-5,"square((v_b * -0.747364) / (v_b + -1.0740023)) * (m * -0.02062265)"
14,6.1947667e-6,"((m * (square(v_b) * 0.16520023)) / square(square(v_b + -1.3992064))) * -0.12023937"
