Complexity,Loss,Equation
1,0.028772429,"1.2205392e-8"
3,0.02468613,"0.47828242 - v_b"
4,0.017475054,"0.27680537 - square(v_b)"
5,0.009250089,"0.11988613 - square(square(v_b))"
7,0.009249552,"0.12051181 - square(square(v_b * -1.0013245))"
8,0.007899086,"((m * -0.10955055) * square(v_b)) + 0.15117067"
9,0.0017891389,"0.12481485 - (m * square(square(v_b * -0.6818366)))"
10,0.0004081541,"0.09064273 - ((square(square(square(v_b))) * 0.596161) * m)"
12,0.00014225928,"(square(square(v_b)) * ((m * square(v_b)) / -2.6939614)) + 0.105394624"
14,0.00013082282,"((((square(square(v_b)) / -2.604934) - -0.005076003) * m) * square(v_b)) + 0.101992406"
