Complexity,Loss,Equation
1,0.028231494,"-0.105597496"
3,0.018395754,"v_b * -0.27535084"
4,0.013087268,"square(v_b) * -0.4683229"
5,0.009314655,"square(square(v_b)) * -0.9446957"
6,0.00876255,"(m * square(v_b)) * -0.09167459"
7,0.0020288052,"(m * -0.20247799) * square(square(v_b))"
9,0.00069846184,"v_b * (square(square(v_b)) * (m * -0.27740782))"
10,0.00029819197,"(m * -0.8401605) * square(v_b * (v_b + -0.3747977))"
11,0.00016949022,"(square(square(v_b)) * v_b) * ((m * -0.36874884) * v_b)"
12,0.00014742436,"(square(v_b) + -0.060918383) * ((m * -0.41255358) * square(square(v_b)))"
13,5.2209558e-5,"((square(square(v_b)) + 0.17453322) * -0.41223302) * (square(square(v_b)) * m)"
17,3.5211924e-5,"(-0.045888923 - square((v_b + -0.367833) * v_b)) * (((v_b * m) * 1.1689491) * square(v_b))"
18,2.5885403e-5,"((0.007174853 - ((v_b * square(v_b)) * m)) * square(-0.35426125 - square(v_b * v_b))) * 0.33207572"
