Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.4884077 / exp_x"
5,0.74072146,"x2 * (x2 * 0.1515409)"
7,0.73947614,"x2 * ((x2 * 0.15570968) - 0.029645413)"
9,0.7377004,"x2 * ((x2 * 0.115989126) + (0.017112395 / exp_x))"
11,0.7376197,"((x * ((x2 * 0.031023104) + 0.20745426)) + -0.07137491) * x2"
13,0.73688865,"(x2 * x) * ((((-0.0004863971 / exp_x) + 0.026428813) / exp_x) + 0.12391526)"
15,0.7352927,"(x2 * (((((-5.863196e-5 / exp_x) + 0.0017527168) / exp_x) / exp_x) + 0.21779577)) * x"
19,0.7351594,"x2 * (-0.022753783 + (((((-0.0005473328 / exp_x) + (x2 * 0.001382207)) / exp_x) / exp_x) + (x * 0.261216)))"
21,0.7350406,"x2 * ((((((x2 * 0.001382207) + (-0.0005473328 / exp_x)) / (exp_x + -0.00033829568)) / exp_x) + (x * 0.261216)) + -0.022753783)"
23,0.7318016,"(x2 * (((((((-0.00086380244 / exp_x) + (x2 * 0.002304391)) / exp_x) + -0.094080694) / exp_x) + (x * 0.73074275)) + 0.66771513)) - x2"
27,0.73120266,"(x * (((((((((x2 * 0.04354664) + -0.47306228) / exp_x) / exp_x) * -0.00039304316) + -0.0059324126) / exp_x) + 0.32502252) * ((x2 - exp_x) - 0.42440337))) + 0.09058684"
