Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.48840773 / exp_x"
5,0.7407216,"(x2 * 0.15154089) * x2"
7,0.739476,"x2 * ((x2 * 0.15570082) + -0.029574865)"
9,0.7377936,"(x2 * ((x2 - x) - -0.9580934)) * 0.1987149"
11,0.7085919,"((x2 * x2) * 0.15230869) - (0.0020496736 / (x - 2.4390657))"
13,0.6883281,"(x2 * (x2 * 0.15090472)) - (x2 / ((2.8929994 - x) / 0.00014688827))"
21,0.6760832,"((x2 * 0.14937945) - (exp_x / (x2 + ((((-0.37224516 - exp_x) / x2) / (x - 2.872209)) / 0.14937945)))) * x2"
25,0.63967574,"(((x2 - ((exp_x / x2) / (x - 2.872209))) * 0.14937945) * x2) - (exp_x / ((exp_x / 0.03270237) - ((x - 2.8881416) / 0.0030490055)))"
29,0.63414264,"(x2 - ((exp_x / x2) / (x - 2.872209))) * ((0.14937945 * x2) - (exp_x / (x2 + ((((-0.37224516 - exp_x) / x2) / (x - 2.872209)) / 0.14937945))))"
