Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.48840773 / exp_x"
5,0.7407215,"(x2 * x2) / 6.5988636"
7,0.73947614,"(x2 - 0.18906127) * (x2 * 0.15568104)"
9,0.7377004,"x2 * ((x2 / 8.631763) - (-0.017179212 / exp_x))"
11,0.7374352,"((((x2 * -0.004196808) - -0.11258658) / exp_x) - 0.11844) * x2"
13,0.7255401,"((x2 * (x * -0.0037652433)) - -0.06419278) * (x2 / (exp_x - 0.07632918))"
15,0.72549725,"(((x * (-0.0037652433 * x2)) - -0.06419278) * (x2 / (exp_x - 0.07632918))) - -0.008215454"
17,0.7240273,"(x2 * (((((x * -0.0036847952) * x2) - -0.06283732) / (exp_x - 0.076314636)) - -0.031969532)) + -0.03600323"
19,0.72301984,"((((x * -0.012815762) - -0.10901653) * (x2 / exp_x)) - 0.07284751) - ((x2 * 8.762545e-5) / (0.07621126 - exp_x))"
25,0.718959,"(((((x * -0.0005763609) * x2) - -0.08421054) * x2) / exp_x) - (((((x2 * -0.008245036) - -0.057245277) * x2) * -0.030327737) / (exp_x - 0.075990304))"
27,0.7177423,"((((((x * -0.00063793425) * x2) - -0.08612248) * x2) / exp_x) - (((((x2 * -0.008709764) - -0.059965476) * -0.035689805) * x2) / (exp_x - 0.07597577))) - 0.064978294"
29,0.7173155,"(((((x2 + exp_x) * (x * -0.0006671277)) - -0.08704239) * (x2 / exp_x)) - 0.05256429) - (x2 * ((((x2 * -0.008434918) - -0.059186805) / (exp_x - 0.07597336)) * -0.023014743))"
