Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.48840773 / exp_x"
5,0.7407216,"x2 * (x2 * 0.15154089)"
7,0.7394762,"(x2 * (x2 + -0.1884076)) / 6.424159"
9,0.73770034,"((x2 + (0.14788578 / exp_x)) * x2) * 0.1159188"
11,0.7374486,"(x2 - 27.346888) * (((x2 / exp_x) - x2) * -0.0039556953)"
13,0.7374424,"((x2 - 27.241514) * -0.0039837267) * (((x2 + -0.011795274) / exp_x) - x2)"
15,0.7372318,"(x * (x2 * (((exp_x * -0.0047872877) + -0.0017959789) * (x2 - 20.260078)))) / exp_x"
17,0.73698926,"(((x2 * -0.0008554196) - (exp_x * (x * 0.011075878))) * x2) * ((x2 + -16.308834) / exp_x)"
19,0.7360291,"((((x2 * (x2 + -23.562183)) * -0.0022670005) + -0.39029536) - (x * (exp_x * -1.0794938))) * (x2 / exp_x)"
21,0.7267614,"(x2 * (((x2 - 10.989358) * x2) * (0.02225447 + ((x2 * -0.0017686087) - ((x * 0.06690348) * exp_x))))) / exp_x"
23,0.72034234,"(((x2 * -0.0011893652) + 0.016272223) - (x * (exp_x * 0.048635814))) * ((x2 + -10.390609) * (x * (x2 * (x2 / exp_x))))"
25,0.71994066,"(x2 + -10.399718) * (((x * (x2 * x2)) * (((x2 * -0.0011643335) + (0.015893186 - ((exp_x * 0.04752886) * x))) / exp_x)) + -0.0031887875)"
27,0.7159334,"(((((x2 * ((0.027125498 - (x * (exp_x * 0.08016982))) + (x2 * -0.0019378086))) * (x2 + -1.5170925)) * (x2 - 10.150502)) / exp_x) + 0.21359555) * x"
29,0.7148224,"(x * (((((x2 * -0.0027548834) + (0.038785473 - (x * (exp_x * 0.112692416)))) * ((x2 - 9.919241) * (x2 / exp_x))) * (x2 + -2.5279496)) + 0.6928585)) + -0.24407195"
