Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.48840773 / exp_x"
5,0.7407216,"x2 * (x2 / 6.5989037)"
7,0.7381667,"x2 / ((7.0289335 / x2) + -0.05744919)"
9,0.7376396,"x2 / ((5.0951576 / x2) + (exp_x * 3.1182728))"
11,0.70203507,"(((0.046203982 / (8.532466 - x2)) + x2) * x2) / 6.6085334"
13,0.7018882,"((((0.046203982 / (8.532466 - x2)) + x2) * x2) / 6.6085334) + -0.016873235"
15,0.6262671,"(x2 / 6.321224) * (x2 - (x / (7.022516 - (-0.17019181 / (8.452079 - x2)))))"
17,0.6256344,"(x2 / 6.321224) * (x2 - (x / ((7.022516 - (-0.17019181 / (8.452079 - x2))) + -0.06478138)))"
27,0.6254096,"((x2 - (0.72833943 / (7.0817447 - (((((x - -0.4099044) * 0.26201287) - 7.081745) / x2) / (8.177302 - (x2 + -0.19580472)))))) + -0.048199613) * (x2 / 6.5085135)"
