Complexity,Loss,Equation
1,2.3463588,"x2"
3,2.071339,"0.48840764 / exp_x"
5,0.7407215,"x2 * (x2 * 0.15154132)"
7,0.739476,"(x2 * 0.15570092) * (x2 - 0.18995464)"
9,0.73779356,"x2 * (((x + -0.9585897) - x2) * -0.19870362)"
11,0.7376132,"(((0.12538977 - (x2 * -0.0026089177)) * x2) - -0.04741107) * x2"
13,0.7376033,"x * ((x2 * 0.023881111) * ((x + x2) - (-4.3691235 - x)))"
15,0.7375307,"(((x2 * 0.12776563) - -0.44262397) * ((-0.0015097185 / exp_x) + 0.3195689)) * (x * x2)"
17,0.69915783,"x * (((((x - (0.013306549 / (x + -2.8723295))) + x2) * 0.027877295) - -0.12653534) * x2)"
19,0.69903845,"(x * ((((x2 + x) - ((x2 * 0.0016255394) / (x + -2.8722782))) * 0.02788044) - -0.12661414)) * x2"
21,0.69804555,"((((x2 + ((x - ((x2 / (x + -2.8715203)) * 0.0012116078)) - 0.37037537)) * 0.027960667) - -0.13770497) * x2) * x"
23,0.69795245,"(x2 * (((((x - ((x2 + (x2 / (x + -2.8715203))) * 0.0012116078)) + x2) - 0.37037537) * 0.027960667) - -0.13770497)) * x"
27,0.6978587,"(x2 * (((((x2 + x) - ((((0.37540218 / exp_x) * x) + (x2 / (-2.8715203 + x))) * 0.0012116078)) - 0.37037537) * 0.027960667) - -0.13770497)) * x"
29,0.69474304,"x2 * ((x / exp_x) * ((((x2 + x) - (0.06370524 / (((x2 + x) - ((-0.3356299 / (x + -2.8975022)) * 0.14046034)) - -0.09726021))) * -0.0026622245) - -0.054173872))"
